C:\Users\HP\anaconda3\python.exe C:/Users/HP/PycharmProjects/OpenCV_Examples/HTR.py
level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	800	550	-1	
2	1	1	0	0	0	102	79	564	147	-1	
3	1	1	1	0	0	102	79	564	147	-1	
4	1	1	1	1	0	102	79	564	147	-1	
5	1	1	1	1	1	102	79	104	109	96	LA
5	1	1	1	1	2	215	86	41	108	0	yi
5	1	1	1	1	3	259	82	60	93	38	L
5	1	1	1	1	4	350	90	129	103	96	Wed
5	1	1	1	1	5	479	95	187	131	30	nescny
2	1	2	0	0	0	107	232	621	267	-1	
3	1	2	1	0	0	107	232	621	263	-1	
4	1	2	1	1	0	107	232	621	135	-1	
5	1	2	1	1	1	107	232	111	86	89	We
5	1	2	1	1	2	269	241	159	96	58	Aud
5	1	2	1	1	3	464	279	38	46	81	o
5	1	2	1	1	4	523	241	205	126	47	pood
4	1	2	1	2	0	108	370	426	129	-1	
5	1	2	1	2	1	108	370	140	129	73	Team
5	1	2	1	2	2	290	370	244	129	54	building

Process finished with exit code 0
